model_id,display_name,round,architecture,target,DrugMacro_AUC,DrugMacro_AUPRC,Global_AUC,Global_AUPRC,n_rows,mean_DrugMacro_AUC_5targets,mean_DrugMacro_AUPRC_5targets,mean_Global_AUC_5targets,mean_Global_AUPRC_5targets
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,aacdr_gdsc_intersect,0.6173277689066976,0.6467766174609212,0.6019736842105262,0.5239569851657095,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,aacdr_tcga_only,0.5391369047619048,0.6803940985852358,0.4181585677749361,0.46451806983364785,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,dapl,0.42839864546291767,0.4804228076333703,0.4632277834525026,0.47806782357821975,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,gdsc_intersect13,0.47141232286039436,0.5588939019822131,0.5506146936021257,0.5904498647619323,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r20_predictive_locked,"BioCDA-Predictive (R20 locked, 15-fold)",round20,biocda-predictive-e3,tcga_only3,0.45914445442747326,0.6634617772158723,0.3826203208556149,0.5657267273516708,0,0.5030840192838775,0.6059898405755225,0.48331900997914107,0.5245438941382361
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,gdsc_intersect13,0.47645987369895076,0.605500575636177,0.49515783813419934,0.6214128666145657,886,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,tcga_only3,0.5488403409855419,0.7031781873094388,0.5280748663101604,0.6948859868388361,129,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,dapl,0.5019936503320246,0.5519475609401938,0.5017875383043923,0.5047105295940781,177,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,aacdr_tcga_only,0.6038318452380953,0.6864322138677375,0.4914748508098892,0.4960095057222712,97,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_pooled_baseline,pooled_baseline / M0 (R21),round21,biocda-xa-v1,aacdr_gdsc_intersect,0.5409902447439826,0.6030497442881977,0.45261317629738673,0.5198592970083249,417,0.534423190999719,0.630021656408349,0.4938216539712057,0.5673756371556152
r21_biocda_xa_z,biocda_xa_z / M1 (R21),round21,biocda-xa-v1,gdsc_intersect13,0.5008706221692328,0.593812922389728,0.5119063936569525,0.6456483299464058,886,0.5036153236692137,0.6169431568950583,0.47471557493613786,0.5696285234816845
r21_biocda_xa_z,biocda_xa_z / M1 (R21),round21,biocda-xa-v1,tcga_only3,0.4816290566905826,0.6841502215301786,0.5216577540106951,0.7105683863190364,129,0.5036153236692137,0.6169431568950583,0.47471557493613786,0.5696285234816845
r21_biocda_xa_z,biocda_xa_z / M1 (R21),round21,biocda-xa-v1,dapl,0.44418796956037027,0.5259832933579413,0.46756894790602654,0.49386607600820365,177,0.5036153236692137,0.6169431568950583,0.47471557493613786,0.5696285234816845
r21_biocda_xa_z,biocda_xa_z / M1 (R21),round21,biocda-xa-v1,aacdr_tcga_only,0.5210193452380952,0.6558085567546628,0.38618925831202044,0.4481316849247002,97,0.5036153236692137,0.6169431568950583,0.47471557493613786,0.5696285234816845
r21_biocda_xa_z,biocda_xa_z / M1 (R21),round21,biocda-xa-v1,aacdr_gdsc_intersect,0.570369624687787,0.6249607904427809,0.48625552079499446,0.5499281402100766,417,0.5036153236692137,0.6169431568950583,0.47471557493613786,0.5696285234816845
r21_biocda_xa_zc,biocda_xa_zc / M2 (R21),round21,biocda-xa-v1,gdsc_intersect13,0.4844168178073563,0.5864245358798333,0.49320990257686304,0.6180008673966845,886,0.5092754130037825,0.6228989853120988,0.4595201279644193,0.5461429549991518
r21_biocda_xa_zc,biocda_xa_zc / M2 (R21),round21,biocda-xa-v1,tcga_only3,0.4071876722615033,0.6352578593169593,0.42967914438502675,0.5947771679759407,129,0.5092754130037825,0.6228989853120988,0.4595201279644193,0.5461429549991518
r21_biocda_xa_zc,biocda_xa_zc / M2 (R21),round21,biocda-xa-v1,dapl,0.49105364830506615,0.5865676004156829,0.5007660878447395,0.5456289979170108,177,0.5092754130037825,0.6228989853120988,0.4595201279644193,0.5461429549991518
r21_biocda_xa_zc,biocda_xa_zc / M2 (R21),round21,biocda-xa-v1,aacdr_tcga_only,0.5530133928571428,0.668827572350974,0.4177323103154305,0.4640481780395356,97,0.5092754130037825,0.6228989853120988,0.4595201279644193,0.5461429549991518
r21_biocda_xa_zc,biocda_xa_zc / M2 (R21),round21,biocda-xa-v1,aacdr_gdsc_intersect,0.6107055337878439,0.6374173585970441,0.45621319470003685,0.5082595636665875,417,0.5092754130037825,0.6228989853120988,0.4595201279644193,0.5461429549991518
r23_biocda_predictive,biocda_predictive / P0 (R23),round23,biocda-predictive-e3,gdsc_intersect13,0.5129002088923124,0.5778430604992392,0.4977515710008013,0.6138444687720348,886,0.5149536361921172,0.608127566250831,0.4609013113037784,0.5414664761845527
r23_biocda_predictive,biocda_predictive / P0 (R23),round23,biocda-predictive-e3,tcga_only3,0.519545305589194,0.6718381035317735,0.4433155080213904,0.6122275090003291,129,0.5149536361921172,0.608127566250831,0.4609013113037784,0.5414664761845527
r23_biocda_predictive,biocda_predictive / P0 (R23),round23,biocda-predictive-e3,dapl,0.4654338770869962,0.516027033241522,0.4680796731358529,0.49069799416910664,177,0.5149536361921172,0.608127566250831,0.4609013113037784,0.5414664761845527
r23_biocda_predictive,biocda_predictive / P0 (R23),round23,biocda-predictive-e3,aacdr_tcga_only,0.5014508928571428,0.6477519519670243,0.43776641091219093,0.46994647464903233,97,0.5149536361921172,0.608127566250831,0.4609013113037784,0.5414664761845527
r23_biocda_predictive,biocda_predictive / P0 (R23),round23,biocda-predictive-e3,aacdr_gdsc_intersect,0.5754378965349405,0.6271776820145959,0.4575933934486566,0.5206159343322604,417,0.5149536361921172,0.608127566250831,0.4609013113037784,0.5414664761845527
r23_biocda_xa_fresh,biocda_xa_fresh / X0 (R23),round23,biocda-xa-v2,gdsc_intersect13,0.480519849216769,0.5808886776119239,0.5437876934756021,0.638082145087111,886,0.5483709453668826,0.6343579110185514,0.5240280501140655,0.5837962263420592
r23_biocda_xa_fresh,biocda_xa_fresh / X0 (R23),round23,biocda-xa-v2,tcga_only3,0.605043165748662,0.7140154874802268,0.5418449197860963,0.6833862745510754,129,0.5483709453668826,0.6343579110185514,0.5240280501140655,0.5837962263420592
r23_biocda_xa_fresh,biocda_xa_fresh / X0 (R23),round23,biocda-xa-v2,dapl,0.5286124157820755,0.5543104153006271,0.5153217568947905,0.5319060344329797,177,0.5483709453668826,0.6343579110185514,0.5240280501140655,0.5837962263420592
r23_biocda_xa_fresh,biocda_xa_fresh / X0 (R23),round23,biocda-xa-v2,aacdr_tcga_only,0.5643229166666667,0.6961576865713954,0.4654731457800512,0.4989473646446495,97,0.5483709453668826,0.6343579110185514,0.5240280501140655,0.5837962263420592
r23_biocda_xa_fresh,biocda_xa_fresh / X0 (R23),round23,biocda-xa-v2,aacdr_gdsc_intersect,0.5633563794202394,0.6264172881285842,0.5537127346337873,0.5666593129944805,417,0.5483709453668826,0.6343579110185514,0.5240280501140655,0.5837962263420592
r23_biocda_xa_transfer,biocda_xa_transfer / X1 (R23),round23,biocda-xa-v2,gdsc_intersect13,0.4549065865503686,0.5747280733408722,0.4895670785711273,0.6279589670305237,886,0.5119314102773338,0.6201570482639788,0.454343833926217,0.5439782959883006
r23_biocda_xa_transfer,biocda_xa_transfer / X1 (R23),round23,biocda-xa-v2,tcga_only3,0.5425624264836734,0.6949244820797927,0.45574866310160433,0.6092835301600632,129,0.5119314102773338,0.6201570482639788,0.454343833926217,0.5439782959883006
r23_biocda_xa_transfer,biocda_xa_transfer / X1 (R23),round23,biocda-xa-v2,dapl,0.44438200898030755,0.49376345680100836,0.4647599591419816,0.47216290524493987,177,0.5119314102773338,0.6201570482639788,0.454343833926217,0.5439782959883006
r23_biocda_xa_transfer,biocda_xa_transfer / X1 (R23),round23,biocda-xa-v2,aacdr_tcga_only,0.5469494047619048,0.6881199847919324,0.40302642796248933,0.46749210042404854,97,0.5119314102773338,0.6201570482639788,0.454343833926217,0.5439782959883006
r23_biocda_xa_transfer,biocda_xa_transfer / X1 (R23),round23,biocda-xa-v2,aacdr_gdsc_intersect,0.5708566246104144,0.6492492443062884,0.458617040853883,0.5429939770819279,417,0.5119314102773338,0.6201570482639788,0.454343833926217,0.5439782959883006
r23_biocda_xa_kd,biocda_xa_kd / X2 (R23),round23,biocda-xa-v2,gdsc_intersect13,0.4560605648703086,0.572522979705725,0.4927117160811438,0.6156704057231497,886,0.4942518992216848,0.6179318373179477,0.454386195151705,0.5421664881120332
r23_biocda_xa_kd,biocda_xa_kd / X2 (R23),round23,biocda-xa-v2,tcga_only3,0.4954398175275944,0.6752054218536964,0.4144385026737968,0.5875446808796019,129,0.4942518992216848,0.6179318373179477,0.454386195151705,0.5421664881120332
r23_biocda_xa_kd,biocda_xa_kd / X2 (R23),round23,biocda-xa-v2,dapl,0.4442307978725748,0.5202870182812336,0.4681435137895812,0.49728181517835446,177,0.4942518992216848,0.6179318373179477,0.454386195151705,0.5421664881120332
r23_biocda_xa_kd,biocda_xa_kd / X2 (R23),round23,biocda-xa-v2,aacdr_tcga_only,0.513095238095238,0.6868053475703403,0.4100596760443308,0.4714160225534778,97,0.4942518992216848,0.6179318373179477,0.454386195151705,0.5421664881120332
r23_biocda_xa_kd,biocda_xa_kd / X2 (R23),round23,biocda-xa-v2,aacdr_gdsc_intersect,0.5624330777427082,0.6348384191787436,0.4865775671696725,0.538919516225582,417,0.4942518992216848,0.6179318373179477,0.454386195151705,0.5421664881120332
